Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Yakimovich, Artur; ",Artificial intelligence in infection biology,Artificial Intelligence in Medicine,,,1-9,2021,Springer International Publishing Cham
"Yakimovich, Artur; ",Sequencing meets machine learning to fight emerging pathogens: A preview,Patterns,3,2,,2022,Elsevier
"Galimov, Evgeniy; Yakimovich, Artur; ",A tandem segmentation-classification approach for the localization of morphological predictors of C. elegans lifespan and motility,Aging (Albany NY),14,4,1665,2022,
"Li, Rui; Sharma, Vaibhav; Thangamani, Subasini; Yakimovich, Artur; ",Open-source biomedical image analysis models: A meta-analysis and continuous survey,Frontiers in Bioinformatics,2,,912809,2022,Frontiers Media SA
"Andriasyan, Vardan; Petkidis, Anthony; Yakimovich, Artur; ",AI and the Infectious Medicine of COVID-19,Artificial Intelligence in Covid-19,,,157-168,2022,Springer International Publishing Cham
"Li, Rui; Kudryashev, Mikhail; Yakimovich, Artur; ",A weak-labelling and deep learning approach for in-focus object segmentation in 3D widefield microscopy,Scientific reports,13,1,12275,2023,Nature Publishing Group UK London
"Sharma, Vaibhav; Yakimovich, Artur; ",Phenotype-preserving metric design for high-content image reconstruction by generative inpainting,Emerging Topics in Artificial Intelligence (ETAI) 2023,12655,,7-14,2023,SPIE
"Liou, Natasha; De, Trina; Urbanski, Adrian; Chieng, Catherine; Kong, Qingyang; David, Anna L; Khasriya, Rajvinder; Yakimovich, Artur; Horsley, Harry; ",A clinical microscopy dataset to develop a deep learning diagnostic test for urinary tract infection,Scientific Data,11,1,155,2024,Nature Publishing Group UK London
"Della Maggiora, Gabriel; Croquevielle, Luis Alberto; Deshpande, Nikita; Horsley, Harry; Heinis, Thomas; Yakimovich, Artur; ",Conditional variational diffusion models,The Twelfth International Conference on Learning Representations,,,,2023,
"Yakimovich, Artur; ",Toward the novel AI tasks in infection biology,Msphere,9,2,e00591-23,2024,"American Society for Microbiology 1752 N St., NW, Washington, DC"
"Sharma, Vaibhav; Yakimovich, Artur; ",A deep learning dataset for sample preparation artefacts detection in multispectral high-content microscopy,Scientific Data,11,1,232,2024,Nature Publishing Group UK London
"della Maggiora, Gabriel; Croquevielle, Luis Alberto; Horsley, Harry; Heinis, Thomas; Yakimovich, Artur; ",Single exposure quantitative phase imaging with a conventional microscope using diffusion models,Proceedings of the AAAI Conference on Artificial Intelligence,39,3,2672-2680,2025,
"Volpe, Giovanni; Wählby, Carolina; Tian, Lei; Hecht, Michael; Yakimovich, Artur; Monakhova, Kristina; Waller, Laura; Sbalzarini, Ivo F; Metzler, Christopher A; Xie, Mingyang; ",Roadmap on deep learning for microscopy,Journal of Physics: Photonics,8,1,012501,2026,IOP Publishing
"Li, Rui; Kudryashev, Mikhail; Yakimovich, Artur; ",Solving the inverse problem of microscopy deconvolution with a residual Beylkin-Coifman-Rokhlin neural network,European Conference on Computer Vision,,,378-395,2024,Springer Nature Switzerland Cham
"De, Trina; Andriasyan, Vardan; Yakimovich, Artur; ",PyPlaque is an open-source python package for phenotypic analysis of virus plaque assays,Scientific Reports,15,1,36187,2025,Nature Publishing Group UK London
"Wyrzykowska, Maria; Della Maggiora, Gabriel; Deshpande, Nikita; Mokarian, Ashkan; Yakimovich, Artur; ",A Benchmark for Virus Infection Reporter Virtual Staining in Fluorescence and Brightfield Microscopy,Scientific Data,12,1,886,2025,Nature Publishing Group UK London
"Krause, Melanie; Samolej, Jerzy; Yakimovich, Artur; Kriston-Vizi, Janos; Huttunen, Moona; Lara-Reyna, Samuel; Frickel, Eva-Maria; Mercer, Jason; ",Vaccinia virus subverts xenophagy through phosphorylation and nuclear targeting of p62,Journal of Cell Biology,223,6,,2024,The Rockefeller University Press
"Rui Li, Gabriel della Maggiora, Vardan Andriasyan, Anthony Petkidis, Artsemi Yushkevich, Nikita Deshpande, Mikhail Kudryashev, Artur Yakimovich; ",Microscopy image reconstruction with physics-informed denoising diffusion probabilistic model,Communications Engineering,3,,,2024,Springer Nature
"Anter, Jacob Marcel; Yakimovich, Artur; ",Artificial Intelligence Methods in Infection Biology Research,Influenza Virus: Methods and Protocols,,,291-333,2025,"Springer US New York, NY"
"De, Trina; Urbanski, Adrian; Yakimovich, Artur; ",Single-shot Star-convex Polygon-based Instance Segmentation for Spatially-correlated Biomedical Objects,arXiv preprint arXiv:2504.12078,,,,2025,
"De, Trina; Thangamani, Subasini; Urbański, Adrian; Yakimovich, Artur; ",A digital photography dataset for vaccinia virus plaque quantification using deep learning,Scientific Data,12,1,719,2025,Nature Publishing Group UK London
"Abgaryan, Meri; Cui, Xinning; Gopan, Nandu; Della Maggiora, Gabriel; Yakimovich, Artur; Sbalzarini, Ivo F; ",Regularized Gradient Statistics Improve Generative Deep Learning Models of Super Resolution Microscopy,Small Methods,9,7,2401900,2025,
"Li, Rui; Yushkevich, Artsemi; Chu, Xiaofeng; Kudryashev, Mikhail; Yakimovich, Artur; ",DeBCR: a sparsity-efficient framework for image enhancement through a deep-learning-based solution to inverse problems,Communications Engineering,,,,2026,Nature Publishing Group UK London
"Li, Rui; Yushkevich, Artsemi; Kudryashev, Mikhail; Yakimovich, Artur; ",Cryo-SWAN: the Multi-Scale Wavelet-decomposition-inspired Autoencoder Network for molecular density representation of molecular volumes,arXiv preprint arXiv:2603.03342,,,,2026,
